Place ID	Place Name	Place Owner	Location	Longitude	Latitude
21887	 "Kingston"	Greater Geelong City	61 Tuckfield Street OCEAN GROVE, Greater Geelong City	144.5350120	-38.2627040
20786	 Medical Rooms	Greater Geelong City	44 Swanston Street GEELONG, Greater Geelong City	144.3676470	-38.1499280
21871	 Residence	Greater Geelong City	53 Tucker Street BREAKWATER, Greater Geelong City	144.3672950	-38.1808930
21368	 Residence	Greater Geelong City	30 Williams Road MOUNT DUNEED, Greater Geelong City	144.3207540	-38.2341960
20898	 Residence	Greater Geelong City	64 Sydney Parade GEELONG, Greater Geelong City	144.3682070	-38.1525750
16586	 Residence	Greater Geelong City	13 Virginia Street NEWTOWN, Greater Geelong City	144.3509690	-38.1502340
16588	 Residence	Greater Geelong City	17 Virginia Street NEWTOWN, Greater Geelong City	144.3506710	-38.1501990
16597	"Acton", Residence	Greater Geelong City	41 Virginia Street NEWTOWN, Greater Geelong City	144.3487130	-38.1499670
21503	"Allambie"	Greater Geelong City	412 Wallington Rd WALLINGTON, Greater Geelong City	144.5024074	-38.2351259
15767	"Allington", house including interior	Greater Geelong City	274 Latrobe Terrace NEWTOWN, Greater Geelong City	144.3520120	-38.1495860
19755	"Antrim" - Residence	Greater Geelong City	167 McKillop Street GEELONG EAST, Greater Geelong City	144.3695640	-38.1565540
21389	"Applegarth", Residence	Greater Geelong City	1662 Bellarine Hwy MARCUS HILL, Greater Geelong City	144.5546528	-38.2325406
4742	"AQUA PROFONDA" SIGN, FITZROY POOL	Heritage Victoria	 ALEXANDRA PARADE FITZROY, Yarra City	144.98049	-37.79394
15291	"Argyle Hotel"	Greater Geelong City	30 Aberdeen Street GEELONG WEST, Greater Geelong City	144.3495760	-38.1466360
18545	"Ariston" and "Jesmond" House	Greater Geelong City	32 Eastern Beach Road GEELONG, GREATER GEELONG CITY	144.3668374	-38.1463660
21747	"Armytage house"	Greater Geelong City	263 Pakington  Street NEWTOWN, Greater Geelong City	144.3464750	-38.1491420
16269	"Arrandoon"	Greater Geelong City	112 Prospect Road NEWTOWN, Greater Geelong City	144.3416320	-38.1514770
13664	"ATHLONE" RUINS	Heritage Victoria	 MIDLAND HIGHWAY GUILDFORD, Mount Alexander Shire	144.15783	-37.15641
21717	"Avalon", Residence	Greater Geelong City	480 Avalon Road AVALON, Greater Geelong City	144.4227550	-38.0811760
21628	"Avondale"  Residence	Greater Geelong City	2 Church Road BELLARINE, Greater Geelong City	144.6179746	-38.1341182
21342	"Barrabool", house 	Greater Geelong City	13 Pepperdine Way HIGHTON, Greater Geelong City	144.3090610	-38.1829880
16328	"Barwon Bank"	Greater Geelong City	35 Riversdale Road NEWTOWN, Greater Geelong City	144.3383234	-38.1618298
15700	"Barwon Grange" house including interior	Greater Geelong City	25 Fernleigh Street NEWTOWN, Greater Geelong City	144.3476420	-38.1625840
15507	"Bayswater", Residence	Greater Geelong City	4 Bayswater Road NEWTOWN, Greater Geelong City	144.3328170	-38.1545890
44647	"Bell Terrace" (1-4 units)	Greater Geelong City	15 Pevensey Crescent Geelong, Greater Geelong City	144.3722680	-38.1503540
20367	"Bell's Terrace"  9-15 Units 	Greater Geelong City	13 Pevensey Crescent GEELONG, Greater Geelong City	144.3722850	-38.1502980
20644	"Belleville"	Greater Geelong City	350 Ryrie Street GEELONG, Greater Geelong City	144.3694220	-38.1522780
27093	"Belmont Heights Neighbourhood Park"	Greater Geelong City	Regent Street (Cnr Amundsden Street) Belmont, Greater Geelong City	144.3397620	-38.1716670
16590	"Belvedere", house	Greater Geelong City	25 Virginia Street NEWTOWN, Greater Geelong City	144.3501380	-38.1501360
